,CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Date,Latitude,Longitude,geometry,index_right
396002,f8f983e0bc8fdde0fbb4ee65fdb095aaa7ff89f36eb29b3d723198724d36d99e6de0d35df13d479a875a79a9f37996c51fc9325d6e9e61f6f91f02088ef14454,JA481453,,10/22/2017 03:20:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DUSK,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,10/22/2017 03:25:00 PM,FAILING TO YIELD RIGHT-OF-WAY,WEATHER,300,S,MORGAN ST,1232.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,2.0,0.0,15,1,10,41.877803532,-87.652052835,POINT (-87.652052835108 41.877803532149),2017-10-22 15:20:00,41.877803532,-87.652052835,POINT (-87.65205283500001 41.877803532),0
396032,f8ff4731cc120d866226322097fd271c4468cfc93566dccd7088d867b1d788cc4e41dd96a1f846d20fc9c6c743262e462a36dc2adbe7719b620a3437749b3b6b,JA453246,,09/30/2017 06:43:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",09/30/2017 06:46:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4816,N,PULASKI RD,1712.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,18,7,9,41.96881831,-87.728192667,POINT (-87.728192667437 41.96881830984),2017-09-30 18:43:00,41.96881831,-87.728192667,POINT (-87.728192667 41.96881831),0
396065,f9049cdf2bf905fb544c7e596221f72c3b9af1c347a251852c0d12e15552e473302660c324941a206775187c7d7c4e99c1740b28c84f0ec3fb149ea6fb192a5e,JC441620,,09/20/2019 05:05:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,09/20/2019 05:05:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,43,N,LARAMIE AVE,1533.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,17,6,9,41.881606358,-87.754962883,POINT (-87.75496288258 41.881606358131),2019-09-20 17:05:00,41.881606358,-87.754962883,POINT (-87.754962883 41.881606358),0
396094,f90a45cc538d39bca86231c6fcab2a61cae0e086787f6a9cbc36a06d5c5c1f114b35d49be56fe6b31c7ae6c708e56c02a9025677e3c3b0542a163ae734bc46ff,JB436558,,09/15/2018 01:02:00 PM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",09/15/2018 01:05:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1126,W,VAN BUREN ST,1232.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,13,7,9,41.876655932,-87.655525318,POINT (-87.655525317731 41.876655931666),2018-09-15 13:02:00,41.876655932,-87.655525318,POINT (-87.655525318 41.876655932),0
396116,f90e206f51d3f2e1aa497096c3f67a07d6c9b15d5ac3e9c57c8f5b4fe12a905aff85e51d7a8a9918b37301f6dafd8f231609c2e6805f9a1b9096bceedac4982a,JC255553,Y,05/08/2019 09:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,05/08/2019 10:05:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1512,W,MORSE AVE,2431.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,21,4,5,42.007974758,-87.668442834,POINT (-87.668442833784 42.007974757848),2019-05-08 21:30:00,42.007974758,-87.668442834,POINT (-87.668442834 42.007974758),0
396127,f910e48687068fbf970c0732b56bdb5186101a73ac6e1a69bcdfe60c5e56648da6aecb8449490ba057b90bace741fc115b0c420913b080a8805ed3680cdbd1e2,HZ430943,,09/11/2016 09:10:00 AM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ALLEY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,09/11/2016 02:00:00 PM,DRIVING ON WRONG SIDE/WRONG WAY,NOT APPLICABLE,3100,N,ASHLAND AVE,1932.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9,1,9,41.937952732,-87.668746238,POINT (-87.66874623825 41.937952732087),2016-09-11 09:10:00,41.937952732,-87.668746238,POINT (-87.668746238 41.937952732),0
396182,f91b6530c88810a9c9cc7d9b08919eb9ce9cd92caeb4353066b4571f9e97aead95cb3f592c0b32350929498fe16689f41bcc0fc38fb52bffcabd1bd5d9a8d7a6,JC451213,,09/27/2019 09:51:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",09/27/2019 10:00:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,600,N,FRANKLIN ST,1831.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,21,6,9,41.892406536,-87.635743627,POINT (-87.635743626722 41.892406536262),2019-09-27 21:51:00,41.892406536,-87.635743627,POINT (-87.635743627 41.892406536),0
396422,f9435ea3d11c4c34ac0ca8f10ca4508318a1341bd2caddfe60324d273692ad927391f59500635ede326993a7d60ab2521c9a63919ecf23d327179ac8df0d5c09,JB363831,,07/24/2018 05:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/24/2018 06:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2721,S,CENTRAL PARK AVE,1032.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,3,7,41.841894138,-87.71457895,POINT (-87.714578949663 41.841894137762),2018-07-24 17:30:00,41.841894138,-87.71457895,POINT (-87.71457895 41.841894138),0
396445,f946eb10d8bc98e5db7ad0c6682276b788e3d2046f778d082e9a0cd965cb5d5d840c701e9aa9675835daf00bbd35ef01ecf6c6301f854fb85778c4441838f588,JA456250,,10/03/2017 08:35:00 AM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,ONE-WAY,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",10/03/2017 08:45:00 AM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,480,W,WASHINGTON ST,121.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8,3,10,41.88329078,-87.63968609,POINT (-87.639686090045 41.883290779592),2017-10-03 08:35:00,41.88329078,-87.63968609,POINT (-87.63968609 41.88329078),0
396447,f9477414a34c74136560421ff30c2dac1c7faa7e0dbea9db28671c7bc0cb6abc742e056fa4be6addd2a3d7dba665a49c4d2158979ed5e9ea1c82d77c6ca2e7e8,JD190352,,03/19/2020 12:43:00 PM,30,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",03/19/2020 12:43:00 PM,DISREGARDING STOP SIGN,NOT APPLICABLE,3400,N,WOLCOTT AVE,1922.0,,Y,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12,5,3,41.943289517,-87.676179684,POINT (-87.676179684163 41.943289516668),2020-03-19 12:43:00,41.943289517,-87.676179684,POINT (-87.676179684 41.943289517),0
396456,f9492ed3792dbbae5cf32e73b5fc29ff632589e67a20eb18e53604d9f126071ba69db5f8e7c273f4bbac98d1a6b99a53d682cd5e3350134276cf0f5f018cd350,JA482740,,10/23/2017 03:35:00 PM,25,LANE USE MARKING,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/23/2017 03:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2844,N,MILWAUKEE AVE,1412.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,15,2,10,41.932887958,-87.71389903,POINT (-87.713899030216 41.932887958232),2017-10-23 15:35:00,41.932887958,-87.71389903,POINT (-87.71389902999999 41.932887958),0
396590,f95fc7115eeb31a7db343f2ce18d1be6804f259ee03259f95479e1e3de0f9e70ccef9840cb0616cafa949493af2dff2bae7f5cf4255eef49d243f4fcc4299524,JA248427,Y,05/02/2017 08:15:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ALLEY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,05/02/2017 10:05:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,3146,W,61ST ST,823.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20,3,5,41.782724089,-87.702681117,POINT (-87.702681116995 41.782724089369),2017-05-02 20:15:00,41.782724089,-87.702681117,POINT (-87.702681117 41.782724089),0
396682,f96f379e3f7090eacd86a5c26aa25734aba3d2d332f961ccc6ec21e3859276a639f9c82973c90b0c68b03323da3722a13e785bfcad8b4528dde07d65fcbffaeb,JC462994,,10/07/2019 06:30:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,10/07/2019 09:00:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1166,W,GRAND AVE,1214.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6,2,10,41.891191,-87.657308504,POINT (-87.657308504319 41.891191000011),2019-10-07 06:30:00,41.891191,-87.657308504,POINT (-87.657308504 41.891191),0
396813,f986dd8286ad9bd8dd2a3d5607411a78d7efbf439b6687f628348be070b8a047e642c5f46b22c2b6de91ec269e901c15e51745f66ce04b379586d2b6232ea75e,JA461165,,10/06/2017 05:48:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT ON GRADE,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",10/06/2017 05:53:00 PM,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER LANE USAGE,1335,E,67TH ST,321.0,,N,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,3.0,0.0,17,6,10,41.773157195,-87.59299185,POINT (-87.592991849969 41.773157194826),2017-10-06 17:48:00,41.773157195,-87.59299185,POINT (-87.59299185 41.773157195),0
396834,f989af5f4e2ee67877d673621fbe65bdfab98249423ae065ed4e016e3890b91981997880113780aec1170299d1cd0b50a89b40725d2e02b0dad5eb1f80bff87c,JB397427,,08/17/2018 01:45:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,08/17/2018 02:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1,S,MASON AVE,1513.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,13,6,8,41.880059539,-87.772874201,POINT (-87.772874201121 41.88005953903),2018-08-17 13:45:00,41.880059539,-87.772874201,POINT (-87.77287420099999 41.880059539),0
396850,f98b47afb8d6fdbfcc980a7cb7d72f8d0b0d40153ba71d37d91062c6f9e2c3943ee22ede35c78298bfe81710c460ddea80ff56e3d0c20e3f3d2f2290d37ae6a0,JB569264,,12/27/2018 05:15:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,12/27/2018 05:17:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,650,W,28TH ST,914.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,17,5,12,41.843653609,-87.643590943,POINT (-87.643590943139 41.843653608529),2018-12-27 17:15:00,41.843653609,-87.643590943,POINT (-87.64359094300001 41.843653609),0
396872,f98f1b0e5ec9a2e12971d6c2d9a4149905fb1e61155c1e1f158880311a57ffecf84f17614e2cad4df6e9c072d37e51eea4c28ffc9902ffcb3856a03958ac8bc2,JC455576,N,10/01/2019 12:00:00 PM,30,OTHER WARNING SIGN,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,10/01/2019 12:01:00 PM,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,1816,W,PERSHING RD,912.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12,3,10,41.823398597,-87.670942166,POINT (-87.670942165505 41.823398596938),2019-10-01 12:00:00,41.823398597,-87.670942166,POINT (-87.670942166 41.823398597),0
396903,f993b5d2fec9e6f00b605d171c44f7a56b06ce224b186c1e44a0478aaa4d3c803a6d057404d87dc103391cd56826a1977a14f32e427b1d78d17b8693a4a7c378,JB424958,,09/06/2018 04:08:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",09/06/2018 04:20:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1152,N,MILWAUKEE AVE,1213.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,16,5,9,41.902561613,-87.665459634,POINT (-87.665459633704 41.902561612838),2018-09-06 16:08:00,41.902561613,-87.665459634,POINT (-87.665459634 41.902561613),0
397059,f9aeb5e35e17fb4851fc83cf623e7f7d8a537215cb95bb0c5625cd35cd41cef8d0fc17ee58e00f172d93af5de7ed9b7dd4dff901e3e637782dc8a1c9326fd671,JC413817,,08/28/2019 08:20:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,08/30/2019 06:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1610,W,AUGUSTA BLVD,1213.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,4,8,41.899808865,-87.667875316,POINT (-87.667875315761 41.899808865236),2019-08-28 08:20:00,41.899808865,-87.667875316,POINT (-87.66787531600001 41.899808865),0
397099,f9b5ba893ab6e79476ec929896a6b73a858c6460e5d7da7b354cc8fd41ce8d53d9dfb8955cf6b27e480fed699930ab8858ee5c1eecd79bf66b7b048a792d562f,JA524467,,11/25/2017 09:10:00 AM,30,OTHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/25/2017 09:20:00 AM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,3918,W,GRAND AVE,2535.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,3.0,0.0,9,7,11,41.90556974,-87.724603503,POINT (-87.724603502546 41.905569739952),2017-11-25 09:10:00,41.90556974,-87.724603503,POINT (-87.724603503 41.90556974),0
397370,f9e266d870099d86657d31b12ff6ef20b84e01c4025f85b45756c57726f5c86242b9db9b86e9c37384ac1a99c0c5042ea18ea6d8a2193f955617333ac4c1e4e7,JA506152,,10/04/2017 09:00:00 AM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/10/2017 09:55:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3230,W,FOSTER AVE,1712.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9,4,10,41.975841975,-87.709959682,POINT (-87.709959681927 41.975841975493),2017-10-04 09:00:00,41.975841975,-87.709959682,POINT (-87.709959682 41.975841975),0
397530,f9fda030b2a4f924774b5198c42db18847193080e149e73a0eef42be6dc4b50fe4ecb313f7ecb74dc5c0fc579f537207f8a695a9457f917a40c71c8c913b8277,JA512477,,11/15/2017 08:55:00 AM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,11/15/2017 09:00:00 AM,DISREGARDING STOP SIGN,NOT APPLICABLE,6900,N,RAVENSWOOD AVE,2424.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,4,11,42.006582512,-87.675874423,POINT (-87.675874422825 42.006582512171),2017-11-15 08:55:00,42.006582512,-87.675874423,POINT (-87.675874423 42.006582512),0
397664,fa17dd4143f4be2cb5971bc18db7f6ab284005f24302810df1aa44ba835a69937165508e4246d84ce10599a2aa561a5aa8508e3361c17df288594da0e9239484,JD148153,,02/10/2020 05:00:00 PM,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/11/2020 04:05:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3175,N,BERNARD ST,1412.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,2,2,41.939170885,-87.713559974,POINT (-87.713559973801 41.939170884818),2020-02-10 17:00:00,41.939170885,-87.713559974,POINT (-87.71355997400001 41.939170885),0
397735,fa23e544b07a52918a023687363f0f3033704b912e5ae002d0f0f3b5db492ce8bce3ac711c9623ff0c8dc473ac165107c3d135a826651bbbef7036aac6e859cb,JA541358,,12/01/2017 04:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,12/08/2017 12:45:00 PM,DISTRACTION - FROM OUTSIDE VEHICLE,FAILING TO REDUCE SPEED TO AVOID CRASH,467,N,DAMEN AVE,1221.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,16,6,12,41.890620479,-87.676754663,POINT (-87.676754662884 41.890620478797),2017-12-01 16:00:00,41.890620479,-87.676754663,POINT (-87.676754663 41.890620479),0
397829,fa3372d3cebb1abf75dde766308ade1b9623b0f717d7fe1ff1fc63cd32705ad236809b758ed5b12326c284d0996695afd2e32f0849d7cc86fa303b26af9adca6,JA315792,,06/13/2017 02:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,06/20/2017 09:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2720,W,DEVON AVE,2412.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,14,3,6,41.997696314,-87.698118287,POINT (-87.69811828656 41.997696313512),2017-06-13 14:30:00,41.997696314,-87.698118287,POINT (-87.698118287 41.997696314),0
398044,fa57e18a778c514b31ef0c41d4807457430c9956e6dc9c690a3c06617c2f4c04e5ae3cad1249579036b6c366e811fe483c10552861c650e03e4fece024ff1f46,JB262060,,05/13/2018 05:15:00 PM,35,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",05/13/2018 05:17:00 PM,DISREGARDING STOP SIGN,FAILING TO YIELD RIGHT-OF-WAY,8100,S,RHODES AVE,631.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,17,1,5,41.747429558,-87.611337451,POINT (-87.611337450566 41.747429557566),2018-05-13 17:15:00,41.747429558,-87.611337451,POINT (-87.611337451 41.747429558),0
398081,fa5d6ac9c57e85cd7791d901f8d137a66e32b3f48aa5e09c256cc446964837d0ea34598eb48d74a7313cb32f262911c539c72a5f1e3866b168db71ea9b457324,JC389610,,08/12/2019 03:58:00 PM,30,STOP SIGN/FLASHER,OTHER,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,08/12/2019 03:59:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2900,S,ARCHER AVE,913.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,8,41.841852477,-87.657801036,POINT (-87.657801035568 41.841852476979),2019-08-12 15:58:00,41.841852477,-87.657801036,POINT (-87.657801036 41.841852477),0
398216,fa71de80b74f8a1fb64fcd6d71fc0991062081f7b72d71894db0400b7f37b68fc895bcfd2e7e20ba9340802a6d54083d0b0944a4205a334694f236c9385c8b41,JC350278,,07/15/2019 04:15:00 PM,30,BICYCLE CROSSING SIGN,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/15/2019 04:15:00 PM,DISREGARDING ROAD MARKINGS,FAILING TO REDUCE SPEED TO AVOID CRASH,3401,W,BELMONT AVE,1412.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,16,2,7,41.939167834,-87.712545991,POINT (-87.712545991172 41.93916783377),2019-07-15 16:15:00,41.939167834,-87.712545991,POINT (-87.712545991 41.939167834),0
398283,fa7e8efacaac25563aa8cc0313dfeac77958dc08ba4100289bf77dc478d47444cedfc61139f699d680f2f4aeb466252b6fbe0b3687fde33339fbc34d4769fbe7,JC391130,,08/13/2019 05:56:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,N,,,"OVER $1,500",08/13/2019 05:56:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,5299,S,BLACKSTONE AVE,234.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17,3,8,41.799603385,-87.5902935,POINT (-87.590293499551 41.799603385),2019-08-13 17:56:00,41.799603385,-87.5902935,POINT (-87.5902935 41.799603385),0
